,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2022-01-13,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-000296.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2022-01-31,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-000568.txt,False
2,1000209,MEDALLION FINANCIAL CORP,8-K,2022-01-28,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-020808.txt,False
3,1000209,MEDALLION FINANCIAL CORP,8-K,2022-02-23,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-049984.txt,False
4,1000228,HENRY SCHEIN INC,8-K,2022-01-05,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-22-002148.txt,False
5,1000228,HENRY SCHEIN INC,8-K,2022-02-15,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-22-000013.txt,False
6,1000229,CORE LABORATORIES N V,8-K,2022-02-02,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-000686.txt,False
7,1000229,CORE LABORATORIES N V,8-K,2022-03-16,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-003956.txt,False
8,1000230,OPTICAL CABLE CORP,8-K,2022-03-18,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-22-006656.txt,False
9,1000230,OPTICAL CABLE CORP,8-K,2022-03-29,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-22-007553.txt,False
10,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-01-07,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-002292.txt,False
11,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-03-11,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-032595.txt,False
12,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-03-22,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-036616.txt,False
13,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-02-02,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000003.txt,False
14,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-02-23,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000008.txt,False
15,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-02-25,https://www.sec.gov/Archives/edgar/data/1000623/0001104659-22-026861.txt,False
16,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-03-28,https://www.sec.gov/Archives/edgar/data/1000623/0001104659-22-038382.txt,False
17,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-01-27,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-003985.txt,False
