,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2022-10-27,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-020230.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2022-11-03,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-021926.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2022-11-04,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-022210.txt,False
3,1000045,NICHOLAS FINANCIAL INC,8-K,2022-12-12,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-026317.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2022-10-27,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-270968.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2022-11-15,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-285755.txt,False
6,1000228,HENRY SCHEIN INC,8-K,2022-11-01,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-22-000066.txt,False
7,1000228,HENRY SCHEIN INC,8-K,2022-11-29,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-22-293869.txt,False
8,1000229,CORE LABORATORIES N V,8-K,2022-10-26,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-020206.txt,False
9,1000229,CORE LABORATORIES N V,8-K,2022-11-04,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-022223.txt,False
10,1000230,OPTICAL CABLE CORP,8-K,2022-12-22,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-22-029602.txt,False
11,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-10-13,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-108319.txt,False
12,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-10-21,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-110638.txt,False
13,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-10-26,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-111578.txt,False
14,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-11-10,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-117153.txt,False
15,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-11-15,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-119206.txt,False
16,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-11-16,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-119592.txt,False
17,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-12-21,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-129144.txt,False
18,1000623,"Mativ Holdings, Inc.",8-K,2022-10-27,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-271066.txt,False
19,1000623,"Mativ Holdings, Inc.",8-K,2022-11-09,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000070.txt,False
20,1000623,"Mativ Holdings, Inc.",8-K,2022-12-22,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000074.txt,False
21,1000623,"Mativ Holdings, Inc.",8-K,2022-12-27,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-312666.txt,False
22,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-10-31,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-067692.txt,True
23,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-11-03,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-068977.txt,True
24,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-11-04,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-069224.txt,False
25,1000694,NOVAVAX INC,8-K,2022-10-06,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-106808.txt,False
26,1000694,NOVAVAX INC,8-K,2022-11-01,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-113551.txt,False
27,1000694,NOVAVAX INC,8-K,2022-11-08,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-115937.txt,False
